group	id	weight	day	dday	cday
1	7		2	2	-8
1	7	260	3	3	-7
1	7		4	4	-6
1	7		5	5	-5
1	7	472	6	6	-4
1	7		7	7	-3
1	7		8	8	-2
1	7	662	9	9	-1
1	7		10	10	0
1	7		11	11	1
1	7	760	12	12	2
1	7		13	13	3
1	7		14	14	4
1	7	885	15	15	5
1	7		16	16	6
1	7		17	17	7
1	7	878	18	18	8
1	7		19	19	9
1	7		20	20	10
1	8	154	0	0	-10
1	8		1	1	-9
1	8		2	2	-8
1	8	271	3	3	-7
1	8		4	4	-6
1	8		5	5	-5
1	8	430	6	6	-4
1	8		7	7	-3
1	8		8	8	-2
1	8	593	9	9	-1
1	8		10	10	0
1	8		11	11	1
1	8	689	12	12	2
1	8		13	13	3
1	8		14	14	4
1	8	775	15	15	5
1	8		16	16	6
1	8		17	17	7
1	8	920	18	18	8
1	8		19	19	9
1	8		20	20	10
1	9	170	0	0	-10
1	9		1	1	-9
1	9		2	2	-8
1	9	300	3	3	-7
1	9		4	4	-6
1	9		5	5	-5
1	9	499	6	6	-4
1	9		7	7	-3
1	9		8	8	-2
1	9	519	9	9	-1
1	9		10	10	0
1	9		11	11	1
1	9	599	12	12	2
1	9		13	13	3
1	9		14	14	4
1	9	600	15	15	5
1	9		16	16	6
1	9		17	17	7
1	9	750	18	18	8
1	9		19	19	9
1	9		20	20	10
1	10	160	0	0	-10
1	10		1	1	-9
1	10		2	2	-8
1	10	283	3	3	-7
1	10		4	4	-6
1	10		5	5	-5
1	10	365	6	6	-4
1	10		7	7	-3
1	10		8	8	-2
1	10	430	9	9	-1
1	10		10	10	0
1	10		11	11	1
1	10	618	12	12	2
1	10		13	13	3
1	10		14	14	4
1	10	719	15	15	5
1	10		16	16	6
1	10		17	17	7
1	10	813	18	18	8
1	10		19	19	9
1	10		20	20	10
1	11	164	0	0	-10
1	11		1	1	-9
1	11		2	2	-8
1	11	240	3	3	-7
1	11		4	4	-6
1	11		5	5	-5
1	11	397	6	6	-4
1	11		7	7	-3
1	11		8	8	-2
1	11	547	9	9	-1
1	11		10	10	0
1	11		11	11	1
1	11	702	12	12	2
1	11		13	13	3
1	11		14	14	4
1	11	802	15	15	5
1	11		16	16	6
1	11		17	17	7
1	11	865	18	18	8
1	11		19	19	9
1	11		20	20	10
2	12		0	0	-10
2	12	180	1	1	-9
2	12		2	2	-8
2	12		3	3	-7
2	12	329	4	4	-6
2	12		5	5	-5
2	12		6	6	-4
2	12	516	7	7	-3
2	12		8	8	-2
2	12		9	9	-1
2	12	521	10	10	0
2	12		11	11	1
2	12		12	12	2
2	12	710	13	13	3
2	12		14	14	4
2	12		15	15	5
2	12	780	16	16	6
2	12		17	17	7
2	12		18	18	8
2	12	850	19	19	9
2	12		20	20	10
2	13		0	0	-10
2	13	169	1	1	-9
2	13		2	2	-8
2	13		3	3	-7
2	13	268	4	4	-6
2	13		5	5	-5
2	13		6	6	-4
2	13	429	7	7	-3
2	13		8	8	-2
2	13		9	9	-1
2	13	548	10	10	0
2	13		11	11	1
2	13		12	12	2
2	13	689	13	13	3
2	13		14	14	4
2	13		15	15	5
2	13	750	16	16	6
2	13		17	17	7
2	13		18	18	8
2	13	844	19	19	9
2	13		20	20	10
2	14		0	0	-10
2	14	162	1	1	-9
2	14		2	2	-8
2	14		3	3	-7
2	14	300	4	4	-6
2	14		5	5	-5
2	14		6	6	-4
2	14	512	7	7	-3
2	14		8	8	-2
2	14		9	9	-1
2	14	682	10	10	0
2	14		11	11	1
2	14		12	12	2
2	14	753	13	13	3
2	14		14	14	4
2	14		15	15	5
2	14	845	16	16	6
2	14		17	17	7
2	14		18	18	8
2	14	831	19	19	9
2	14		20	20	10
2	15		0	0	-10
2	15	180	1	1	-9
2	15		2	2	-8
2	15		3	3	-7
2	15	292	4	4	-6
2	15		5	5	-5
2	15		6	6	-4
2	15	454	7	7	-3
2	15		8	8	-2
2	15		9	9	-1
2	15	616	10	10	0
2	15		11	11	1
2	15		12	12	2
2	15	716	13	13	3
2	15		14	14	4
2	15		15	15	5
2	15	730	16	16	6
2	15		17	17	7
2	15		18	18	8
2	15	880	19	19	9
2	15		20	20	10
2	16		0	0	-10
2	16	175	1	1	-9
2	16		2	2	-8
2	16		3	3	-7
2	16	327	4	4	-6
2	16		5	5	-5
2	16		6	6	-4
2	16	513	7	7	-3
2	16		8	8	-2
2	16		9	9	-1
2	16	661	10	10	0
2	16		11	11	1
2	16		12	12	2
2	16	765	13	13	3
2	16		14	14	4
2	16		15	15	5
2	16	795	16	16	6
2	16		17	17	7
2	16		18	18	8
2	16	870	19	19	9
2	16		20	20	10
2	17		0	0	-10
2	17	180	1	1	-9
2	17		2	2	-8
2	17		3	3	-7
2	17	349	4	4	-6
2	17		5	5	-5
2	17		6	6	-4
2	17	504	7	7	-3
2	17		8	8	-2
2	17		9	9	-1
2	17	600	10	10	0
2	17		11	11	1
2	17		12	12	2
2	17	660	13	13	3
2	17		14	14	4
2	17		15	15	5
2	17	700	16	16	6
2	17		17	17	7
2	17		18	18	8
2	17	762	19	19	9
2	17		20	20	10
2	18		0	0	-10
2	18	163	1	1	-9
2	18		2	2	-8
2	18		3	3	-7
2	18	327	4	4	-6
2	18		5	5	-5
2	18		6	6	-4
2	18	530	7	7	-3
2	18		8	8	-2
2	18		9	9	-1
2	18	730	10	10	0
2	18		11	11	1
2	18		12	12	2
2	18	779	13	13	3
2	18		14	14	4
2	18		15	15	5
2	18	801	16	16	6
2	18		17	17	7
2	18		18	18	8
2	18	877	19	19	9
2	18		20	20	10
2	19		0	0	-10
2	19	181	1	1	-9
2	19		2	2	-8
2	19		3	3	-7
2	19	350	4	4	-6
2	19		5	5	-5
2	19		6	6	-4
2	19	571	7	7	-3
2	19		8	8	-2
2	19		9	9	-1
2	19	719	10	10	0
2	19		11	11	1
2	19		12	12	2
2	19	812	13	13	3
2	19		14	14	4
2	19		15	15	5
2	19	827	16	16	6
2	19		17	17	7
2	19		18	18	8
2	19	872	19	19	9
2	19		20	20	10
2	20		0	0	-10
2	20	192	1	1	-9
2	20		2	2	-8
2	20		3	3	-7
2	20	330	4	4	-6
2	20		5	5	-5
2	20		6	6	-4
2	20	520	7	7	-3
2	20		8	8	-2
2	20		9	9	-1
2	20	703	10	10	0
2	20		11	11	1
2	20		12	12	2
2	20	796	13	13	3
2	20		14	14	4
2	20		15	15	5
2	20	860	16	16	6
2	20		17	17	7
2	20		18	18	8
2	20	938	19	19	9
2	20		20	20	10
2	21		0	0	-10
2	21	180	1	1	-9
2	21		2	2	-8
2	21		3	3	-7
2	21	328	4	4	-6
2	21		5	5	-5
2	21		6	6	-4
2	21	493	7	7	-3
2	21		8	8	-2
2	21		9	9	-1
2	21	631	10	10	0
2	21		11	11	1
2	21		12	12	2
2	21	774	13	13	3
2	21		14	14	4
2	21		15	15	5
2	21	821	16	16	6
2	21		17	17	7
2	21		18	18	8
2	21	968	19	19	9
2	21		20	20	10
3	22		0	0	-10
3	22		1	1	-9
3	22	190	2	2	-8
3	22		3	3	-7
3	22		4	4	-6
3	22	388	5	5	-5
3	22		6	6	-4
3	22		7	7	-3
3	22	621	8	8	-2
3	22		9	9	-1
3	22		10	10	0
3	22	823	11	11	1
3	22		12	12	2
3	22		13	13	3
3	22	1078	14	14	4
3	22		15	15	5
3	22		16	16	6
3	22	1132	17	17	7
3	22		18	18	8
3	22		19	19	9
3	22	1191	20	20	10
3	23		0	0	-10
3	23		1	1	-9
3	23	218	2	2	-8
3	23		3	3	-7
3	23		4	4	-6
3	23	393	5	5	-5
3	23		6	6	-4
3	23		7	7	-3
3	23	568	8	8	-2
3	23		9	9	-1
3	23		10	10	0
3	23	729	11	11	1
3	23		12	12	2
3	23		13	13	3
3	23	839	14	14	4
3	23		15	15	5
3	23		16	16	6
3	23	852	17	17	7
3	23		18	18	8
3	23		19	19	9
3	23	1004	20	20	10
3	24		0	0	-10
3	24		1	1	-9
3	24	141	2	2	-8
3	24		3	3	-7
3	24		4	4	-6
3	24	260	5	5	-5
3	24		6	6	-4
3	24		7	7	-3
3	24	472	8	8	-2
3	24		9	9	-1
3	24		10	10	0
3	24	662	11	11	1
3	24		12	12	2
3	24		13	13	3
3	24	760	14	14	4
3	24		15	15	5
3	24		16	16	6
3	24	885	17	17	7
3	24		18	18	8
3	24		19	19	9
3	24	878	20	20	10
3	25		0	0	-10
3	25		1	1	-9
3	25	211	2	2	-8
3	25		3	3	-7
3	25		4	4	-6
3	25	394	5	5	-5
3	25		6	6	-4
3	25		7	7	-3
3	25	549	8	8	-2
3	25		9	9	-1
3	25		10	10	0
3	25	700	11	11	1
3	25		12	12	2
3	25		13	13	3
3	25	783	14	14	4
3	25		15	15	5
3	25		16	16	6
3	25	870	17	17	7
3	25		18	18	8
3	25		19	19	9
3	25	925	20	20	10
3	26		0	0	-10
3	26		1	1	-9
3	26	209	2	2	-8
3	26		3	3	-7
3	26		4	4	-6
3	26	419	5	5	-5
3	26		6	6	-4
3	26		7	7	-3
3	26	645	8	8	-2
3	26		9	9	-1
3	26		10	10	0
3	26	850	11	11	1
3	26		12	12	2
3	26		13	13	3
3	26	1001	14	14	4
3	26		15	15	5
3	26		16	16	6
3	26	1026	17	17	7
3	26		18	18	8
3	26		19	19	9
3	26	1069	20	20	10
3	27		0	0	-10
3	27		1	1	-9
3	27	193	2	2	-8
3	27		3	3	-7
3	27		4	4	-6
3	27	362	5	5	-5
3	27		6	6	-4
3	27		7	7	-3
3	27	520	8	8	-2
3	27		9	9	-1
3	27		10	10	0
3	27	530	11	11	1
3	27		12	12	2
3	27		13	13	3
3	27	641	14	14	4
3	27		15	15	5
3	27		16	16	6
3	27	640	17	17	7
3	27		18	18	8
3	27		19	19	9
3	27	751	20	20	10
3	28		0	0	-10
3	28		1	1	-9
3	28	201	2	2	-8
3	28		3	3	-7
3	28		4	4	-6
3	28	361	5	5	-5
3	28		6	6	-4
3	28		7	7	-3
3	28	502	8	8	-2
3	28		9	9	-1
3	28		10	10	0
3	28	530	11	11	1
3	28		12	12	2
3	28		13	13	3
3	28	657	14	14	4
3	28		15	15	5
3	28		16	16	6
3	28	762	17	17	7
3	28		18	18	8
3	28		19	19	9
3	28	888	20	20	10
3	29		0	0	-10
3	29		1	1	-9
3	29	202	2	2	-8
3	29		3	3	-7
3	29		4	4	-6
3	29	370	5	5	-5
3	29		6	6	-4
3	29		7	7	-3
3	29	498	8	8	-2
3	29		9	9	-1
3	29		10	10	0
3	29	650	11	11	1
3	29		12	12	2
3	29		13	13	3
3	29	795	14	14	4
3	29		15	15	5
3	29		16	16	6
3	29	858	17	17	7
3	29		18	18	8
3	29		19	19	9
3	29	910	20	20	10
3	30		0	0	-10
3	30		1	1	-9
3	30	190	2	2	-8
3	30		3	3	-7
3	30		4	4	-6
3	30	350	5	5	-5
3	30		6	6	-4
3	30		7	7	-3
3	30	510	8	8	-2
3	30		9	9	-1
3	30		10	10	0
3	30	666	11	11	1
3	30		12	12	2
3	30		13	13	3
3	30	819	14	14	4
3	30		15	15	5
3	30		16	16	6
3	30	879	17	17	7
3	30		18	18	8
3	30		19	19	9
3	30	929	20	20	10
3	31		0	0	-10
3	31		1	1	-9
3	31	219	2	2	-8
3	31		3	3	-7
3	31		4	4	-6
3	31	399	5	5	-5
3	31		6	6	-4
3	31		7	7	-3
3	31	578	8	8	-2
3	31		9	9	-1
3	31		10	10	0
3	31	699	11	11	1
3	31		12	12	2
3	31		13	13	3
3	31	709	14	14	4
3	31		15	15	5
3	31		16	16	6
3	31	822	17	17	7
3	31		18	18	8
3	31		19	19	9
3	31	953	20	20	10
3	32		0	0	-10
3	32		1	1	-9
3	32	225	2	2	-8
3	32		3	3	-7
3	32		4	4	-6
3	32	400	5	5	-5
3	32		6	6	-4
3	32		7	7	-3
3	32	545	8	8	-2
3	32		9	9	-1
3	32		10	10	0
3	32	690	11	11	1
3	32		12	12	2
3	32		13	13	3
3	32	796	14	14	4
3	32		15	15	5
3	32		16	16	6
3	32	825	17	17	7
3	32		18	18	8
3	32		19	19	9
3	32	836	20	20	10
3	33		0	0	-10
3	33		1	1	-9
3	33	224	2	2	-8
3	33		3	3	-7
3	33		4	4	-6
3	33	381	5	5	-5
3	33		6	6	-4
3	33		7	7	-3
3	33	577	8	8	-2
3	33		9	9	-1
3	33		10	10	0
3	33	756	11	11	1
3	33		12	12	2
3	33		13	13	3
3	33	869	14	14	4
3	33		15	15	5
3	33		16	16	6
3	33	929	17	17	7
3	33		18	18	8
3	33		19	19	9
3	33	999	20	20	10
4	34	140	0	0	-10
4	34	158	1	1	-9
4	34	187	2	2	-8
4	34	235	3	3	-7
4	34	269	4	4	-6
4	34	329	5	5	-5
4	34	351	6	6	-4
4	34	403	7	7	-3
4	34	441	8	8	-2
4	34	478	9	9	-1
4	34	500	10	10	0
4	34	525	11	11	1
4	34	551	12	12	2
4	34	572	13	13	3
4	34	589	14	14	4
4	34	608	15	15	5
4	34	568	16	16	6
4	34	621	17	17	7
4	34	652	18	18	8
4	34	672	19	19	9
4	34	796	20	20	10
4	35	145	0	0	-10
4	35	164	1	1	-9
4	35	278	2	2	-8
4	35	331	3	3	-7
4	35	409	4	4	-6
4	35	471	5	5	-5
4	35	528	6	6	-4
4	35	583	7	7	-3
4	35	606	8	8	-2
4	35	740	9	9	-1
4	35	722	10	10	0
4	35	770	11	11	1
4	35	820	12	12	2
4	35	869	13	13	3
4	35	888	14	14	4
4	35	913	15	15	5
4	35	959	16	16	6
4	35	1001	17	17	7
4	35	1002	18	18	8
4	35	1082	19	19	9
4	35	1105	20	20	10
